cluster,D142_RLL_5B1_8,D430_RLL_7A2_6,D327_RLL_4A2_6,D194_RLL_5A2_6
0,0.10348594103340872,0.259794342279302,0.3707641763024278,0.2659555403848615
1,0.09100519887564985,0.4770528096316012,0.32704410338051293,0.10489788811223602
2,0.17270576005033716,0.21754414761924304,0.29817938090743706,0.31157071142298276
3,0.11457617612003085,0.3011287947837061,0.34507466872327,0.23922036037299305
4,0.40560378290634486,0.21236502223163245,0.10212435598842544,0.2799068388735973
5,0.2793159735717062,0.17389817333851534,0.3546677030703459,0.19211815001943258
6,0.08938274928079945,0.3139415554920005,0.2541007049006578,0.34257499032654226
7,0.11202030095272016,0.3983616774997774,0.11015938028670644,0.37945864126079604
8,0.2418678178391196,0.21298717091262845,0.26004742506232137,0.28509758618593056
9,0.19148936170212766,0.24468085106382978,0.02127659574468085,0.5425531914893617
