leiden_key,sample,cluster,n_cells,fraction_within_sample,fraction_within_cluster,color_hex
scvi_leiden_0p6,D142_RLL_5B1_8,0,2800,0.03057035548956241,0.12014589143960523,#A6CEE3
scvi_leiden_0p6,D142_RLL_5B1_8,1,5659,0.061784872041226305,0.0872198760827348,#1F78B4
scvi_leiden_0p6,D142_RLL_5B1_8,2,2572,0.028081055113983754,0.12425721049326055,#B2DF8A
scvi_leiden_0p6,D142_RLL_5B1_8,3,5496,0.06000524063236964,0.14144169647682528,#33A02C
scvi_leiden_0p6,D142_RLL_5B1_8,4,4157,0.04538605991789676,0.07505235791146096,#FB9A99
scvi_leiden_0p6,D142_RLL_5B1_8,5,2577,0.02813564503450083,0.06891664215227448,#E31A1C
scvi_leiden_0p6,D142_RLL_5B1_8,6,11743,0.12820988732640407,0.4075025158760454,#FDBF6F
scvi_leiden_0p6,D142_RLL_5B1_8,7,8469,0.09246440737182286,0.134775136064165,#FF7F00
scvi_leiden_0p6,D142_RLL_5B1_8,8,9514,0.10387370075989169,0.11766306364243488,#CAB2D6
scvi_leiden_0p6,D142_RLL_5B1_8,9,11624,0.12691064721809764,0.1798851730915056,#6A3D9A
scvi_leiden_0p6,D142_RLL_5B1_8,10,2472,0.026989256703642238,0.10708715993761914,#FFFF99
scvi_leiden_0p6,D142_RLL_5B1_8,11,11602,0.12667045156782253,0.3032806169128219,#B15928
scvi_leiden_0p6,D142_RLL_5B1_8,12,3209,0.035035810987859205,0.48828362751065124,#1FF8FF
scvi_leiden_0p6,D142_RLL_5B1_8,13,2965,0.032371822866625904,0.11502056016758476,#1B9E77
scvi_leiden_0p6,D142_RLL_5B1_8,14,2649,0.02892173988994672,0.07503399048266485,#D95F02
scvi_leiden_0p6,D142_RLL_5B1_8,15,4027,0.04396672198445279,0.2509190603775936,#7570B3
scvi_leiden_0p6,D142_RLL_5B1_8,16,14,0.00015285177744781204,0.18666666666666668,#E7298A
scvi_leiden_0p6,D142_RLL_5B1_8,17,23,0.00025111363437854836,0.24468085106382978,#66A61E
scvi_leiden_0p6,D142_RLL_5B1_8,18,20,0.0002183596820683029,0.20618556701030927,#E6AB02
scvi_leiden_0p6,D430_RLL_7A2_6,0,4584,0.024087015921391414,0.19669598798541085,#A6CEE3
scvi_leiden_0p6,D430_RLL_7A2_6,1,16092,0.08455677578687405,0.2480194815202984,#1F78B4
scvi_leiden_0p6,D430_RLL_7A2_6,2,8416,0.04422258420471862,0.406589690323204,#B2DF8A
scvi_leiden_0p6,D430_RLL_7A2_6,3,11731,0.06164153223687668,0.3019018452273722,#33A02C
scvi_leiden_0p6,D430_RLL_7A2_6,4,30038,0.15783721296831485,0.5423196360222431,#FB9A99
scvi_leiden_0p6,D430_RLL_7A2_6,5,13149,0.06909253323524775,0.35164335570828764,#E31A1C
scvi_leiden_0p6,D430_RLL_7A2_6,6,6109,0.03210025747464663,0.21199292084533436,#FDBF6F
scvi_leiden_0p6,D430_RLL_7A2_6,7,23314,0.12250538594924071,0.3710175371590439,#FF7F00
scvi_leiden_0p6,D430_RLL_7A2_6,8,21163,0.11120277442068205,0.2617304410200599,#CAB2D6
scvi_leiden_0p6,D430_RLL_7A2_6,9,13787,0.07244495822605224,0.2133583001903465,#6A3D9A
scvi_leiden_0p6,D430_RLL_7A2_6,10,9144,0.04804792181178078,0.39611852365274647,#FFFF99
scvi_leiden_0p6,D430_RLL_7A2_6,11,5769,0.030313698702117597,0.15080381649457586,#B15928
scvi_leiden_0p6,D430_RLL_7A2_6,12,306,0.0016079028952761284,0.0465611685940353,#1FF8FF
scvi_leiden_0p6,D430_RLL_7A2_6,13,6912,0.036319688928590194,0.2681356195205214,#1B9E77
scvi_leiden_0p6,D430_RLL_7A2_6,14,16382,0.0860806053281488,0.46402673917969633,#D95F02
scvi_leiden_0p6,D430_RLL_7A2_6,15,3359,0.017650149755661815,0.2092965293787775,#7570B3
scvi_leiden_0p6,D430_RLL_7A2_6,16,14,7.356418475119542e-05,0.18666666666666668,#E7298A
scvi_leiden_0p6,D430_RLL_7A2_6,17,18,9.458252325153697e-05,0.19148936170212766,#66A61E
scvi_leiden_0p6,D430_RLL_7A2_6,18,23,0.0001208554463769639,0.23711340206185566,#E6AB02
scvi_leiden_0p6,D327_RLL_4A2_6,0,11843,0.0682145449099727,0.5081742115425875,#A6CEE3
scvi_leiden_0p6,D327_RLL_4A2_6,1,28117,0.1619512251316138,0.4333559384729201,#1F78B4
scvi_leiden_0p6,D327_RLL_4A2_6,2,5272,0.030366214706187288,0.25469829460360405,#B2DF8A
scvi_leiden_0p6,D327_RLL_4A2_6,3,8578,0.04940845784326149,0.22075816455207556,#33A02C
scvi_leiden_0p6,D327_RLL_4A2_6,4,18006,0.1037128342184386,0.3250884668159168,#FB9A99
scvi_leiden_0p6,D327_RLL_4A2_6,5,11566,0.06661905145898372,0.30930922900008023,#E31A1C
scvi_leiden_0p6,D327_RLL_4A2_6,6,2996,0.017256672848963792,0.10396640871707673,#FDBF6F
scvi_leiden_0p6,D327_RLL_4A2_6,7,6314,0.03636803483590033,0.10048060091027722,#FF7F00
scvi_leiden_0p6,D327_RLL_4A2_6,8,27454,0.15813240867671963,0.3395335031784115,#CAB2D6
scvi_leiden_0p6,D327_RLL_4A2_6,9,20018,0.11530176137869066,0.3097850477413764,#6A3D9A
scvi_leiden_0p6,D327_RLL_4A2_6,10,6835,0.039368944900756854,0.2960925316236354,#FFFF99
scvi_leiden_0p6,D327_RLL_4A2_6,11,12543,0.0722464778186091,0.3278787086655339,#B15928
scvi_leiden_0p6,D327_RLL_4A2_6,12,1874,0.010794060386835162,0.2851491174680463,#1FF8FF
scvi_leiden_0p6,D327_RLL_4A2_6,13,4435,0.025545174928289192,0.17204593063852897,#1B9E77
scvi_leiden_0p6,D327_RLL_4A2_6,14,3599,0.020729895054546293,0.10194312259234081,#D95F02
scvi_leiden_0p6,D327_RLL_4A2_6,15,4119,0.02372504521524762,0.2566515047666521,#7570B3
scvi_leiden_0p6,D327_RLL_4A2_6,16,13,7.487875401753315e-05,0.17333333333333334,#E7298A
scvi_leiden_0p6,D327_RLL_4A2_6,17,30,0.00017279712465584574,0.3191489361702128,#66A61E
scvi_leiden_0p6,D327_RLL_4A2_6,18,2,1.1519808310389716e-05,0.020618556701030927,#E6AB02
scvi_leiden_0p6,D194_RLL_5A2_6,0,4078,0.02435382924848311,0.1749839090323965,#A6CEE3
scvi_leiden_0p6,D194_RLL_5A2_6,1,15014,0.08966365677702928,0.23140470392404672,#1F78B4
scvi_leiden_0p6,D194_RLL_5A2_6,2,4439,0.026509722421288996,0.2144548045799314,#B2DF8A
scvi_leiden_0p6,D194_RLL_5A2_6,3,13052,0.077946586402943,0.335898293743727,#33A02C
scvi_leiden_0p6,D194_RLL_5A2_6,4,3187,0.01903277435382925,0.05753953925037914,#FB9A99
scvi_leiden_0p6,D194_RLL_5A2_6,5,10101,0.06032320481582342,0.2701307731393576,#E31A1C
scvi_leiden_0p6,D194_RLL_5A2_6,6,7969,0.047590893889446276,0.2765381545615435,#FDBF6F
scvi_leiden_0p6,D194_RLL_5A2_6,7,24741,0.14775333237781282,0.3937267258665139,#FF7F00
scvi_leiden_0p6,D194_RLL_5A2_6,8,22727,0.1357257178347905,0.2810729921590937,#CAB2D6
scvi_leiden_0p6,D194_RLL_5A2_6,9,19190,0.11460274234389184,0.29697147897677156,#6A3D9A
scvi_leiden_0p6,D194_RLL_5A2_6,10,4633,0.02766829105155033,0.20070178478599895,#FFFF99
scvi_leiden_0p6,D194_RLL_5A2_6,11,8341,0.04981247909798863,0.21803685792706837,#B15928
scvi_leiden_0p6,D194_RLL_5A2_6,12,1183,0.007064879843294635,0.1800060864272672,#1FF8FF
scvi_leiden_0p6,D194_RLL_5A2_6,13,11466,0.06847498925039415,0.44479788967336487,#1B9E77
scvi_leiden_0p6,D194_RLL_5A2_6,14,12674,0.07568916917490803,0.358996147745298,#D95F02
scvi_leiden_0p6,D194_RLL_5A2_6,15,4544,0.027136782762409824,0.2831329054769768,#7570B3
scvi_leiden_0p6,D194_RLL_5A2_6,16,34,0.0002030481104581721,0.4533333333333333,#E7298A
scvi_leiden_0p6,D194_RLL_5A2_6,17,23,0.00013735607472170464,0.24468085106382978,#66A61E
scvi_leiden_0p6,D194_RLL_5A2_6,18,52,0.00031054416893602793,0.5360824742268041,#E6AB02
