group,names,scores,logfoldchanges,pvals,pvals_adj
0,FN1,166.96037,1.402018,0.0,0.0
0,TIMP1,125.825134,2.1785572,0.0,0.0
0,THBS1,109.383286,1.8511702,0.0,0.0
0,COL3A1,93.06694,0.4468677,0.0,0.0
0,SERPINE1,84.019325,2.3060353,0.0,0.0
0,CCN1,79.93537,1.6447941,0.0,0.0
0,ZFP36,73.61971,1.2068926,0.0,0.0
0,EMP1,73.40901,1.4521601,0.0,0.0
0,PTX3,69.16086,2.3711812,0.0,0.0
0,TNC,64.98553,1.6999482,0.0,0.0
0,EGR1,60.743156,1.4468402,0.0,0.0
0,SOCS3,56.74637,1.4434714,0.0,0.0
0,ENG,54.99891,1.2024955,0.0,0.0
0,MT2A,54.12085,2.0528944,0.0,0.0
0,TAGLN,49.64427,0.6026503,0.0,0.0
0,SOD2,49.636135,1.4061645,0.0,0.0
0,ADAMTS1,44.988422,0.91004497,0.0,0.0
0,IER3,43.400127,2.1697254,0.0,0.0
0,IL6,42.23835,2.247006,0.0,0.0
0,ADAMTS9,40.96163,1.424698,0.0,0.0
0,C7,40.87739,0.5857778,0.0,0.0
0,C11orf96,39.406456,1.2308959,0.0,0.0
0,CCN2,38.617615,1.2436776,0.0,0.0
0,IFITM2,37.24806,1.2519124,1.1391048558332838e-303,1.9639738893677308e-301
0,SGK1,37.149216,1.0607009,4.513531794276129e-302,7.522552990460215e-300
0,NR4A1,36.080147,0.6761297,4.645713898109624e-285,7.493086932434878e-283
0,CCL2,35.921078,1.8635969,1.432156637358349e-282,2.23774474587242e-280
0,DDIT4,35.866962,1.1570034,1.000547527783736e-281,1.5159811027026303e-279
0,TPM2,35.134674,0.59876907,1.9928572982237803e-270,2.930672497387912e-268
0,EMILIN1,34.79674,1.2570462,2.724429686431437e-265,3.892042409187767e-263
0,HAS2,34.616913,1.9676256,1.4064324883400033e-262,1.9533784560277825e-260
0,MYL9,34.584717,0.37991068,4.2882599552978557e-262,5.7949458855376424e-260
0,FOS,33.797653,0.9147805,2.1352731152759367e-250,2.8095698885209695e-248
0,ACTA2,33.460934,0.47041515,1.7846873965482546e-245,2.2880607648054548e-243
0,COL1A1,32.658527,-0.11421831,6.064384574297705e-234,7.395590944265494e-232
0,MEST,30.468002,1.140333,6.918714649815419e-204,8.23656505930407e-202
0,DEPRECATED_CCL2,29.913216,1.8125428,1.324732948601548e-196,1.5403871495366838e-194
0,TM4SF1,29.185246,0.8916708,2.98476345657435e-187,3.391776655198125e-185
0,SMAD6,28.672047,1.0729023,8.514972171989315e-181,9.46108019109924e-179
0,NES,28.25877,1.1921293,1.1106121822199079e-175,1.1815023215105403e-173
0,CD59,28.104431,1.0077076,8.64781484738694e-174,9.008140466028063e-172
0,VMP1,27.996485,1.1812795,1.793041799635685e-172,1.8296344894241686e-170
0,DEPRECATED_IFITM2,27.025103,1.5564355,7.494607996577435e-161,7.494607996577435e-159
0,TNFAIP3,26.824099,1.5839276,1.6919092687439728e-158,1.6587345771999733e-156
0,CXCL12,26.660246,1.0895172,1.3614203959529726e-156,1.3090580730317046e-154
0,CRISPLD2,26.653446,0.9453192,1.6324366236430992e-156,1.5400345506066972e-154
0,ICAM1,26.484337,1.0175006,1.468572261601005e-154,1.3597891311120417e-152
0,FTL,26.283646,0.13133651,2.94979352771047e-152,2.681630479736791e-150
0,TINAGL1,26.224295,0.88200474,1.4044279762506081e-151,1.2319543651321124e-149
0,CTSB,25.987001,0.37905458,6.946124233274267e-149,5.988038132132989e-147
0,MYC,25.784922,1.5451412,1.308974753969635e-146,1.1093006389573179e-144
0,HYAL2,25.546734,0.9986875,5.969164358575481e-144,4.974303632146234e-142
0,ACTN1,25.48386,0.7222531,2.976455980223602e-143,2.439718016576723e-141
0,ITGA5,25.236797,1.0844849,1.58132424863426e-140,1.2752614908340807e-138
0,SLCO2A1,24.385767,1.282919,2.421488968168064e-131,1.8917882563813e-129
0,CTSC,24.347116,1.0423522,6.219591557124834e-131,4.784301197788334e-129
0,HSPA8,24.139917,0.74095833,9.528706279367985e-129,7.21871687830908e-127
0,KLF2,23.863405,0.58790195,7.350642136357685e-126,5.48555383310275e-124
0,FGF7,23.544086,1.3337129,1.443283666701898e-122,1.0612379902219839e-120
0,POSTN,23.2724,0.9687329,8.440172266069244e-120,6.116066859470467e-118
0,PODXL,23.126587,0.8824072,2.5015006726319872e-118,1.7867861947371337e-116
0,THBD,23.114246,0.9808098,3.3293004124738217e-118,2.3445777552632547e-116
0,FCN3,22.914646,1.3993617,3.3197527294890537e-116,2.305383839922954e-114
0,LAMA2,21.583958,1.1562445,2.5415963008507647e-103,1.7172947978721384e-101
0,PHLDA1,21.487488,1.1183816,2.0384800980623748e-102,1.3589867320415833e-100
0,SOX18,21.467697,1.2009486,3.1209944417902515e-102,2.0532858169672707e-100
0,CD163,21.361895,0.95295113,3.023027233029242e-101,1.963004696772235e-99
0,IGFBP7,21.35234,0.3748208,3.7089536720302e-101,2.3775344051475643e-99
0,TXNRD1,21.344246,0.9468841,4.4101808083117446e-101,2.7912536761466734e-99
0,S100A9,21.07108,0.49448448,1.465532249948725e-98,9.159576562179531e-97
0,PDLIM7,20.512005,0.8336901,1.6821537437372764e-93,1.0383665084798004e-91
0,TMEM100,20.230589,0.7183274,5.266942382863711e-91,3.211550233453482e-89
0,MCAM,20.073755,0.9086648,1.2517806790165937e-89,7.540847463955384e-88
0,NME2,19.383905,0.9032105,1.0552578417532574e-83,6.135220010193357e-82
0,OSMR,18.71205,0.9765509,3.948995232693213e-78,2.2695374900535707e-76
0,NOTCH3,18.704792,0.75461847,4.524986037575285e-78,2.5710147940768662e-76
0,TGFBI,18.697655,0.55691606,5.173092281273677e-78,2.906231618693077e-76
0,PRSS23,18.693472,0.8941237,5.594978528707874e-78,3.1083214048377077e-76
0,LIF,18.602825,2.6697571,3.048116273836151e-77,1.6747891614484345e-75
0,TUBA1B,18.366037,1.0678055,2.457130816958271e-75,1.3353971831294951e-73
0,SPON2,18.275791,1.3431582,1.2900432826956254e-74,6.861932354763965e-73
0,LIMS2,17.779951,0.843253,1.0106676833279797e-70,5.319303596463051e-69
0,NAMPT,17.692722,1.5121552,4.771404824282014e-70,2.4851066793135492e-68
0,QSOX1,17.645666,0.85247314,1.0987004704615669e-69,5.663404486915293e-68
0,HMOX1,17.501167,0.96907926,1.4036079940595038e-68,7.161265275813795e-67
0,SRGN,17.45551,0.62572134,3.1258290836117997e-68,1.5787015573796967e-66
0,LRRC32,17.380287,0.79049855,1.1637032831968773e-67,5.818516415984386e-66
0,MMP19,17.30646,1.3446771,4.2049159752233555e-67,2.0816415718927503e-65
0,BCL3,17.137094,0.9299538,7.847473528673121e-66,3.846800749349569e-64
0,COL18A1,17.129066,0.987834,9.008770664891565e-66,4.373189643151245e-64
0,FKBP5,16.528337,1.0714107,2.2938289719151383e-61,1.09229951043578e-59
0,LTBP2,16.49393,0.6998964,4.056764179368529e-61,1.9135680091360984e-59
0,CSRNP1,16.357496,0.87828654,3.8462473567394817e-60,1.797311848943683e-58
0,PDGFRA,16.2994,0.9159891,9.966423580891777e-60,4.6140849911536004e-58
